x,y,z_estimate
0.131,0.1,0.0177987
0.132,0.1,0.0177987
0.133,0.1,0.0177987
0.134,0.1,0.0177987
0.135,0.1,0.0177987
0.136,0.1,0.0177987
0.137,0.1,0.0177987
0.138,0.1,0.0177987
0.139,0.1,0.0177987
0.14,0.1,0.0177987
0.141,0.1,0.0177987
0.142,0.1,0.0177987
0.143,0.1,0.0177987
0.144,0.1,0.0177987
0.145,0.1,0.0177987
0.146,0.1,0.0177987
0.147,0.1,0.0177987
0.148,0.1,0.0177987
0.149,0.1,0.0177987
0.15,0.1,0.0177987
0.151,0.1,0.0177987
0.152,0.1,0.0177987
0.153,0.1,0.0177987
0.154,0.1,0.0177987
0.155,0.1,0.0177987
0.156,0.1,0.0177987
0.157,0.1,0.0177987
0.158,0.1,0.0177987
0.159,0.1,0.0177987
0.16,0.1,0.0177987
0.161,0.1,0.0177987
0.162,0.1,0.0177987
0.163,0.1,0.0177987
0.164,0.1,0.0177987
0.165,0.1,0.0177987
0.166,0.1,0.0177987
0.167,0.1,0.0177987
0.168,0.1,0.0177987
0.169,0.1,0.0177987
0.17,0.1,0.0177987
0.171,0.1,0.0177987
0.172,0.1,0.0177987
0.173,0.1,0.0177987
0.174,0.1,0.0177987
0.175,0.1,0.0177987
0.176,0.1,0.0177987
0.177,0.1,0.0177987
0.178,0.1,0.0177987
0.179,0.1,0.0177987
0.18,0.1,0.0177987
0.181,0.1,0.0177987
0.182,0.1,0.0177987
0.183,0.1,0.0177987
0.184,0.1,0.0177987
0.185,0.1,0.0177987
0.186,0.1,0.0177987
0.187,0.1,0.0177987
0.188,0.1,0.0177987
0.189,0.1,0.0177987
0.19,0.1,0.0177987
0.191,0.1,0.0177987
0.192,0.1,0.0177987
0.193,0.1,0.0177987
0.194,0.1,0.0177987
0.195,0.1,0.0177987
0.196,0.1,0.0177987
0.197,0.1,0.0177987
0.198,0.1,0.0177987
0.199,0.1,0.0177987
0.2,0.1,0.0177987
0.201,0.1,0.0177987
0.202,0.1,0.0177987
0.203,0.1,0.0177987
0.204,0.1,0.0177987
0.205,0.1,0.0177987
0.206,0.1,0.0177987
0.207,0.1,0.0177987
0.208,0.1,0.0177987
0.209,0.1,0.0177987
0.21,0.1,0.0177987
0.211,0.1,0.0177987
0.212,0.1,0.0177987
0.213,0.1,0.0177987
0.214,0.1,0.0177987
0.215,0.1,0.0177987
0.216,0.1,0.0177987
0.217,0.1,0.0177987
0.218,0.1,0.0177987
0.219,0.1,0.0177987
0.22,0.1,0.0177987
0.221,0.1,0.0177987
0.222,0.1,0.0177987
0.223,0.1,0.0177987
0.224,0.1,0.0177987
0.225,0.1,0.0177987
0.226,0.1,0.0177987
0.227,0.1,0.0177987
0.228,0.1,0.0177987
0.229,0.1,0.0177987
0.23,0.1,0.0177987
0.231,0.1,0.0177987
0.232,0.1,0.0177987
0.233,0.1,0.0177987
0.234,0.1,0.0177987
0.235,0.1,0.0177987
0.236,0.1,0.0177987
0.237,0.1,0.0177987
0.238,0.1,0.0177987
0.239,0.1,0.0177987
0.24,0.1,0.0177987
0.241,0.1,0.0177987
0.242,0.1,0.0177987
0.243,0.1,0.0177987
0.244,0.1,0.0177987
0.245,0.1,0.0177987
0.246,0.1,0.0177987
0.247,0.1,0.0177987
0.248,0.1,0.0177987
0.249,0.1,0.0177987
0.25,0.1,0.0177987
0.251,0.1,0.0177987
0.252,0.1,0.0177987
0.253,0.1,0.0177987
0.254,0.1,0.0177987
0.255,0.1,0.0177987
0.256,0.1,0.0177987
0.257,0.1,0.0177987
0.258,0.1,0.0177987
0.259,0.1,0.0177987
0.26,0.1,0.0177987
0.261,0.1,0.0177987
0.262,0.1,0.0177987
0.263,0.1,0.0177987
0.264,0.1,0.0177987
0.265,0.1,0.0177987
0.266,0.1,0.0177987
0.267,0.1,0.0177987
0.268,0.1,0.0177987
0.269,0.1,0.0177987
0.27,0.1,0.0177987
0.271,0.1,0.0177987
0.272,0.1,0.0177987
0.273,0.1,0.0177987
0.274,0.1,0.0177987
0.275,0.1,0.0177987
0.276,0.1,0.0177987
0.277,0.1,0.0177987
0.278,0.1,0.0177987
0.279,0.1,0.0177987
0.28,0.1,0.0177987
0.281,0.1,0.0177987
0.282,0.1,0.0177987
0.283,0.1,0.0177987
0.284,0.1,0.0177987
0.285,0.1,0.0177987
0.286,0.1,0.0177987
0.287,0.1,0.0177987
0.288,0.1,0.0177987
0.289,0.1,0.0177987
0.29,0.1,0.0177987
0.291,0.1,0.0177987
0.292,0.1,0.0177987
0.293,0.1,0.0177987
0.294,0.1,0.0177987
0.295,0.1,0.0177987
0.296,0.1,0.0177987
0.297,0.1,0.0177987
0.298,0.1,0.0177987
0.299,0.1,0.0177987
0.3,0.1,0.0177987
